"x"
22287.43
19893.44
19297.43
19878.4
19048.43
19017.58
19409.1
19517.94
20524.17
20078.25
20209.25
21468.3
24015.41
22667.97
21238.95
21666.56
20811.59
20848.76
21171.2
21351.56
22272.92
21892.98
22409.39
24031.67
29310.37
24482.02
23472.03
24155.73
23465.32
23469.08
23752.59
24185.36
25687.38
24964.16
25527.25
27072.62
27949.13
30627.93
27387.95
27813.88
26727.97
26881.09
27326.26
27822.39
29030.58
28317.78
28987.92
30334.32
36673.15
32454.47
30433.07
30789.61
30169.3
30181.32
30687.19
30851.62
31724.88
31317.84
31607.36
34218.96
41082.37
35141.64
33746.42
34257.27
33559.52
33640.98
34239.3
34406.62
36787.89
35730.23
36343.86
38246.97
40758.58
42865.79
39080.58
39657.54
38652.97
38904.85
39543.16
39922.76
41854.41
41646.21
42252.16
44628.17
58063.94
47270.24
44845.22
45489.03
44602.83
44477.8
45183.1
45775.29
47145.29
46579.39
47317.26
50748.46
59820.72
51448.78
49595.74
50199.32
49039.72
49284.64
49705.85
50235.06
53433.49
51467.71
52392.12
54659.77
62449.63
60313.65
55460.52
55607.15
54431.39
54063.91
54412.78
54925.35
56492.53
55595.72
56441.27
58574.44
76488.6
62320.95
58329.3
58615.54
58051.11
56951.05
57346.5
57997.61
58844.99
57691.64
58438.53
60259.53
63040.51
72896.19
61949.81
60772.46
59075.97
58604.26
59010.71
59061.79
61022.97
59900.48
60328.24
63216.58
72526.51
69421.5
64651.21
64403.17
62780.71
62818.89
63276.01
63454.7
65068.62
64214.93
64903.5
68303.87
86598.61
71727.69
68605.05
68392.6
67333.21
66977.68
67129.04
67550.99
69748.54
68230.69
68623.16
70645.6
74636.29
81424.24
72692.63
71476.46
69774.808
69589.333435
69530.58977
69775.39304
71254.26
70106.62
70563.30427
73208.40338
87500
